"","drug_name","category1","category2"
"425","fosinopril","Metabolic Enzyme/Protease, Apoptosis","Angiotensin-converting Enzyme (ACE), Apoptosis"
"426","benidipine","Apoptosis, Neuronal Signaling, Membrane Transporter/Ion Channel","Apoptosis, Calcium Channel"
"427","perhexiline","Metabolic Enzyme/Protease, Apoptosis","Mitochondrial Metabolism, Apoptosis"
"428","imipramine","Neuronal Signaling, Autophagy, Apoptosis","Serotonin Transporter, Autophagy, Apoptosis"
"429","estramustine-phosphate","Apoptosis, Cytoskeleton, Cell Cycle/DNA Damage","Apoptosis, Microtubule/Tubulin"
"430","moexipril","Metabolic Enzyme/Protease, Apoptosis","Angiotensin-converting Enzyme (ACE), Apoptosis"
"431","rilmenidine","Neuronal Signaling, GPCR/G Protein, Apoptosis, Autophagy","Imidazoline Receptor, Adrenergic Receptor, Apoptosis, Autophagy"
"432","flupentixol","GPCR/G Protein, Neuronal Signaling, PI3K/Akt/mTOR, Apoptosis","Dopamine Receptor, PI3K, Apoptosis"
"433","api-1","PI3K/Akt/mTOR, Apoptosis","Akt, Apoptosis"
"434","pik-75","Cell Cycle/DNA Damage, PI3K/Akt/mTOR, Apoptosis","DNA-PK, PI3K, Apoptosis"
"435","chloropyramine","Apoptosis, Neuronal Signaling, Immunology/Inflammation, GPCR/G Protein","Apoptosis, Histamine Receptor"
"436","voreloxin","Cell Cycle/DNA Damage, Apoptosis","Topoisomerase, Apoptosis"
"437","rabeprazole","Membrane Transporter/Ion Channel, Apoptosis, Anti-infection","Proton Pump, Apoptosis, Bacterial"
"438","mirodenafil","Metabolic Enzyme/Protease, Vitamin D Related/Nuclear Receptor, Immunology/Inflammation, Stem Cell/Wnt, Apoptosis","Phosphodiesterase (PDE), Glucocorticoid Receptor, Wnt, β-catenin, Apoptosis"
"439","2,3-dcpe","Apoptosis","Apoptosis"
"440","epirubicin","Cell Cycle/DNA Damage, Apoptosis, Anti-infection","DNA/RNA Synthesis, Topoisomerase, Apoptosis, Antibiotic"
"441","phenformin","Metabolic Enzyme/Protease, Apoptosis, PI3K/Akt/mTOR, Epigenetics","Apoptosis, Mitochondrial Metabolism, AMPK"
"442","mk-2206","PI3K/Akt/mTOR, Autophagy, Apoptosis","Akt, Autophagy, Apoptosis"
"443","venetoclax","Apoptosis, Autophagy","Bcl-2 Family, Autophagy"
"444","navitoclax","Apoptosis","Bcl-2 Family"
"445","obatoclax","Apoptosis, Autophagy, Anti-infection","Bcl-2 Family, Autophagy, Parasite"
"446","dehydrocorydaline","Apoptosis, Epigenetics, Cell Cycle/DNA Damage, MAPK/ERK Pathway, Anti-infection, Autophagy","Bcl-2 Family, Caspase, PARP, p38 MAPK, Parasite, Autophagy"
"447","gambogic-acid","Apoptosis, Autophagy","Bcl-2 Family, Autophagy"
"448","gossypol","Apoptosis","Bcl-2 Family"
"449","tw-37","Apoptosis","Bcl-2 Family"
"450","ha14-1","Apoptosis","Bcl-2 Family"
"451","bam7","Apoptosis","Bcl-2 Family"
"452","obatoclax","Apoptosis, Autophagy, Anti-infection","Bcl-2 Family, Autophagy, Parasite"
"453","carteolol","GPCR/G Protein, Neuronal Signaling, Apoptosis","Adrenergic Receptor, Caspase, Bcl-2 Family"
"454","idarubicin","Cell Cycle/DNA Damage, Anti-infection, Autophagy, Apoptosis","Topoisomerase, Bacterial, Fungal, Autophagy, c-Myc, DNA/RNA Synthesis, Antibiotic"
"455","vx-765","Apoptosis","Caspase"
"456","emricasan","Apoptosis, Anti-infection","Caspase, Flavivirus"
"457","fenbufen","Immunology/Inflammation, Apoptosis","COX, Caspase"
"458","tacrolimus","Metabolic Enzyme/Protease, Immunology/Inflammation, Autophagy, Apoptosis, Anti-infection","Phosphatase, FKBP, Bacterial, Autophagy, Antibiotic"
"459","ascomycin","Apoptosis, Immunology/Inflammation, Autophagy, Anti-infection","FKBP, Parasite, Fungal, Antibiotic"
"460","gpi-1046","Apoptosis, Immunology/Inflammation, Autophagy, Anti-infection","FKBP, HIV"
"461","gdc-0152","Apoptosis","IAP"
"462","cudc-427","Apoptosis","IAP"
"463","idasanutlin","Apoptosis, Metabolic Enzyme/Protease","MDM-2/p53, E1/E2/E3 Enzyme"
"464","nutlin-3","Apoptosis, Metabolic Enzyme/Protease","MDM-2/p53, E1/E2/E3 Enzyme"
"465","amg-232","Apoptosis, Metabolic Enzyme/Protease","MDM-2/p53, E1/E2/E3 Enzyme"
"466","amifostine","Apoptosis, Metabolic Enzyme/Protease","MDM-2/p53, HIF/HIF Prolyl-Hydroxylase"
"467","rg7112","Apoptosis, Metabolic Enzyme/Protease","MDM-2/p53, E1/E2/E3 Enzyme"
"468","sp-141","Apoptosis","MDM-2/p53"
"469","rita","Apoptosis, Autophagy, Cell Cycle/DNA Damage","MDM-2/p53, Autophagy, DNA Alkylator/Crosslinker"
"470","tenovin-6","Apoptosis, Metabolic Enzyme/Protease, Cell Cycle/DNA Damage, Epigenetics, Autophagy","MDM-2/p53, Dihydroorotate Dehydrogenase, Sirtuin, Autophagy"
"471","tenovin-1","Apoptosis, Metabolic Enzyme/Protease, Cell Cycle/DNA Damage, Epigenetics, Autophagy","MDM-2/p53, Dihydroorotate Dehydrogenase, Sirtuin, Autophagy"
"472","sj-172550","Apoptosis, Metabolic Enzyme/Protease","MDM-2/p53, E1/E2/E3 Enzyme"
"473","ym-155","Apoptosis, Autophagy","Survivin, Autophagy"
"474","raltitrexed","Apoptosis, Cell Cycle/DNA Damage","Thymidylate Synthase, Nucleoside Antimetabolite/Analog"
"475","cid-2011756","Apoptosis","PKD"
"476","necrostatin-1","Apoptosis, Autophagy, Metabolic Enzyme/Protease","RIP kinase, Autophagy, Indoleamine 2,3-Dioxygenase (IDO), Ferroptosis"
"477","necrostatin-2","Apoptosis","RIP kinase"
"478","resatorvid","Immunology/Inflammation, Apoptosis, Autophagy","Toll-like Receptor (TLR), TNF Receptor, Interleukin Related, Autophagy"
"479","fisetin","Cell Cycle/DNA Damage, Epigenetics, Vitamin D Related/Nuclear Receptor, Apoptosis","Sirtuin, PPAR, TNF Receptor"
"480","tryptanthrin","GPCR/G Protein, Immunology/Inflammation, NF-κB, Apoptosis","Leukotriene Receptor, NO Synthase, NF-κB, COX, TNF Receptor, Interleukin Related"
"481","apratastat","Metabolic Enzyme/Protease, Apoptosis","MMP, TNF Receptor"
"482","vgx-1027","Immunology/Inflammation, Apoptosis","Interleukin Related, TNF Receptor"
"483","cpi-1189","Apoptosis","TNF Receptor, Apoptosis"
"484","semapimod","Immunology/Inflammation, Apoptosis, MAPK/ERK Pathway","Interleukin Related, TNF Receptor, p38 MAPK"
"485","naphazoline","GPCR/G Protein, Neuronal Signaling, Apoptosis, Immunology/Inflammation, Protein Tyrosine Kinase/RTK","Adrenergic Receptor, TNF Receptor, Interleukin Related, VEGFR"
"486","erastin","Apoptosis, Membrane Transporter/Ion Channel","Ferroptosis, VDAC"
"487","cisplatin","Induced Disease Models Products, Cell Cycle/DNA Damage, Apoptosis, Autophagy","Urinary System Disease Models, DNA Alkylator/Crosslinker, Ferroptosis, Autophagy"
"488","curcumin","Epigenetics, NF-κB, Autophagy, Anti-infection, Apoptosis","Histone Acetyltransferase, Epigenetic Reader Domain, Keap1-Nrf2, Autophagy, Mitophagy, Influenza Virus, Ferroptosis"
"489","lapatinib","JAK/STAT Signaling, Protein Tyrosine Kinase/RTK, Autophagy, Apoptosis","EGFR, Autophagy, Ferroptosis"
"490","fg-4592","Metabolic Enzyme/Protease, Apoptosis","HIF/HIF Prolyl-Hydroxylase, Ferroptosis"
"491","lovastatin","Metabolic Enzyme/Protease, Autophagy, Apoptosis","HMG-CoA Reductase (HMGCR), Autophagy, Ferroptosis"
"492","pioglitazone","Cell Cycle/DNA Damage, Vitamin D Related/Nuclear Receptor, Apoptosis","PPAR, Ferroptosis"
"493","baicalein","Metabolic Enzyme/Protease, Anti-infection, Apoptosis","Xanthine Oxidase, Influenza Virus, Ferroptosis"
"494","l-glutamine","GPCR/G Protein, Neuronal Signaling, Metabolic Enzyme/Protease, Apoptosis","mGluR, Endogenous Metabolite, Ferroptosis"
"495","gkt137831","Metabolic Enzyme/Protease, Apoptosis","NADPH Oxidase, Ferroptosis"
"496","artemisinin","Anti-infection, PI3K/Akt/mTOR, Apoptosis","HCV, Parasite, Akt, Ferroptosis"
"497","zileuton","Metabolic Enzyme/Protease, Apoptosis","Lipoxygenase, Ferroptosis"
"498","bay-87-2243","Metabolic Enzyme/Protease, Apoptosis","HIF/HIF Prolyl-Hydroxylase, Ferroptosis"
"499","deferasirox","Anti-infection, Apoptosis","Bacterial, Ferroptosis"
"500","linagliptin","Metabolic Enzyme/Protease, Autophagy, Apoptosis","Dipeptidyl Peptidase, Autophagy, Ferroptosis"
"501","l-cystine","Metabolic Enzyme/Protease, Apoptosis","Endogenous Metabolite, Ferroptosis"
"502","ciclopirox","Anti-infection, Apoptosis, Autophagy","Fungal, Bacterial, Ferroptosis, Autophagy"
"503","butylated-hydroxytoluene","Apoptosis, Metabolic Enzyme/Protease","Ferroptosis, Endogenous Metabolite"
"504","alogliptin","Metabolic Enzyme/Protease, Apoptosis","Dipeptidyl Peptidase, Ferroptosis"
"505","docebenone","Metabolic Enzyme/Protease, Apoptosis","Lipoxygenase, Ferroptosis"
"506","3-methyladenine","PI3K/Akt/mTOR, Autophagy, Metabolic Enzyme/Protease","PI3K, Autophagy, Mitophagy, Endogenous Metabolite"
"507","chloroquine","Autophagy, Anti-infection, Immunology/Inflammation","Parasite, Autophagy, SARS-CoV, Toll-like Receptor (TLR), HIV, Antibiotic"
"508","olaparib","Cell Cycle/DNA Damage, Epigenetics, Autophagy","PARP, Autophagy, Mitophagy"
"509","dexamethasone","Induced Disease Models Products, Immunology/Inflammation, Vitamin D Related/Nuclear Receptor, Autophagy, Anti-infection","Endocrine and Metabolic Disease Models, Glucocorticoid Receptor, SARS-CoV, Autophagy, Complement System, Mitophagy, Bacterial, Antibiotic"
"510","chir-99021","PI3K/Akt/mTOR, Stem Cell/Wnt, Autophagy","GSK-3, Wnt, β-catenin, Autophagy"
"511","forskolin","GPCR/G Protein, Metabolic Enzyme/Protease, Autophagy, Epigenetics, TGF-beta/Smad","Adenylate Cyclase, FXR, Autophagy, PKC"
"512","dorsomorphin","Epigenetics, PI3K/Akt/mTOR, TGF-beta/Smad, Autophagy","AMPK, TGF-β Receptor, Autophagy"
"513","sb-203580","MAPK/ERK Pathway, Autophagy","p38 MAPK, Autophagy, Mitophagy"
"514","enzalutamide","Vitamin D Related/Nuclear Receptor, Autophagy","Androgen Receptor, Autophagy"
"515","metformin","Epigenetics, PI3K/Akt/mTOR, Autophagy","AMPK, Autophagy, Mitophagy"
"516","brefeldin-a","Autophagy, Cell Cycle/DNA Damage, Anti-infection","Autophagy, CRISPR/Cas9, Mitophagy, HSV, Antibiotic, Bacterial"
"517","erlotinib","JAK/STAT Signaling, Protein Tyrosine Kinase/RTK, Autophagy","EGFR, Autophagy"
"518","wortmannin","PI3K/Akt/mTOR, Cell Cycle/DNA Damage, Autophagy, Anti-infection","PI3K, Polo-like Kinase (PLK), Autophagy, Antibiotic"
"519","torin-1","PI3K/Akt/mTOR, Autophagy","mTOR, Autophagy"
"520","sn-38","Cell Cycle/DNA Damage, Antibody-drug Conjugate/ADC Related, Autophagy","Topoisomerase, ADC Cytotoxin, Autophagy"
"521","regorafenib","Protein Tyrosine Kinase/RTK, Autophagy, MAPK/ERK Pathway","VEGFR, Autophagy, PDGFR, Raf, RET, c-Kit, FGFR, Tie"
"522","vemurafenib","MAPK/ERK Pathway, Autophagy","Raf, Autophagy"
"523","cb-839","Metabolic Enzyme/Protease, Autophagy","Glutaminase, Autophagy"
"524","irinotecan","Cell Cycle/DNA Damage, Autophagy","Topoisomerase, Autophagy"
"525","azd5363","PI3K/Akt/mTOR, Autophagy","Akt, Autophagy"
"526","imatinib","Protein Tyrosine Kinase/RTK, Anti-infection, Autophagy","Bcr-Abl, PDGFR, c-Kit, SARS-CoV, Autophagy"
"527","crizotinib","Protein Tyrosine Kinase/RTK, Autophagy","Anaplastic lymphoma kinase (ALK), c-Met/HGFR, ROS Kinase, Autophagy"
"528","mifepristone","Vitamin D Related/Nuclear Receptor, Immunology/Inflammation, Autophagy","Progesterone Receptor, Glucocorticoid Receptor, NO Synthase, Autophagy"
"529","ag-490","JAK/STAT Signaling, Protein Tyrosine Kinase/RTK, Stem Cell/Wnt, Epigenetics, Autophagy","EGFR, STAT, JAK, Autophagy"
"530","norepinephrine","Induced Disease Models Products, Metabolic Enzyme/Protease, Neuronal Signaling, GPCR/G Protein, Autophagy","Cardiovascular System Disease Models, Endogenous Metabolite, Adrenergic Receptor, Autophagy"
"531","dynasore","Cytoskeleton, Autophagy, Anti-infection","Dynamin, HSV, Autophagy, Virus Protease"
"532","doramapimod","MAPK/ERK Pathway, Autophagy","p38 MAPK, Raf, Autophagy"
"533","cx-4945","Cell Cycle/DNA Damage, Stem Cell/Wnt, Autophagy","Casein Kinase, Autophagy"
"534","eipa","Membrane Transporter/Ion Channel, Neuronal Signaling, GPCR/G Protein, Autophagy, Immunology/Inflammation","TRP Channel, Prostaglandin Receptor, Autophagy, COX, Na+/H+ Exchanger (NHE)"
"535","ponatinib","Protein Tyrosine Kinase/RTK, Autophagy","Bcr-Abl, PDGFR, VEGFR, FGFR, Src, Autophagy"
"536","gw-4064","Metabolic Enzyme/Protease, Autophagy","FXR, Autophagy"
"537","kn-93","Neuronal Signaling, Autophagy","CaMK, Autophagy"
"538","pemetrexed","Cell Cycle/DNA Damage, Autophagy","Antifolate, Autophagy"
"539","dimethyl-fumarate","NF-κB, Immunology/Inflammation, Anti-infection, Autophagy, Metabolic Enzyme/Protease","Keap1-Nrf2, Reactive Oxygen Species, HIV, Autophagy, Endogenous Metabolite"
"540","pepstatin","Anti-infection, Metabolic Enzyme/Protease, Autophagy","HIV Protease, Autophagy"
"541","binimetinib","MAPK/ERK Pathway, Autophagy","MEK, Autophagy"
"542","chenodeoxycholic-acid","Metabolic Enzyme/Protease, Autophagy","FXR, Endogenous Metabolite, Autophagy"
"543","imiquimod","Induced Disease Models Products, Immunology/Inflammation, Autophagy, Anti-infection","Immunology and Inflammatory Disease Models, Skin Disease Models, Toll-like Receptor (TLR), Autophagy, SARS-CoV, HSV"
"544","vismodegib","Stem Cell/Wnt, Autophagy","Hedgehog, Autophagy"
"545","nilotinib","Protein Tyrosine Kinase/RTK, Autophagy","Bcr-Abl, Autophagy"
"546","fenofibrate","Vitamin D Related/Nuclear Receptor, Cell Cycle/DNA Damage, Metabolic Enzyme/Protease, Autophagy","PPAR, Cytochrome P450, Autophagy"
"547","thiamet-g","Autophagy","Autophagy"
"548","ly2109761","TGF-beta/Smad, Autophagy","TGF-β Receptor, Autophagy"
"549","ku-55933","Cell Cycle/DNA Damage, PI3K/Akt/mTOR, Autophagy","ATM/ATR, Autophagy"
"550","veliparib","Cell Cycle/DNA Damage, Epigenetics, Autophagy","PARP, Autophagy"
"551","apigenin","Autophagy, Metabolic Enzyme/Protease","Autophagy, Cytochrome P450, Endogenous Metabolite"
"552","baicalin","NF-κB, Autophagy, Anti-infection","NF-κB, Autophagy, HIV"
"553","saracatinib","Protein Tyrosine Kinase/RTK, Autophagy","Src, Autophagy"
"554","hydroxychloroquine","Anti-infection, Immunology/Inflammation, Autophagy","Parasite, Toll-like Receptor (TLR), SARS-CoV, Autophagy"
"555","honokiol","PI3K/Akt/mTOR, Autophagy, Anti-infection, Stem Cell/Wnt, MAPK/ERK Pathway","Akt, Autophagy, HCV, ERK"
"556","entrectinib","Protein Tyrosine Kinase/RTK, Neuronal Signaling, Autophagy","ROS Kinase, Trk Receptor, Anaplastic lymphoma kinase (ALK), Autophagy"
"557","e-64","Metabolic Enzyme/Protease, Autophagy, Anti-infection","Cathepsin, Autophagy, Bacterial"
"558","pazopanib","Protein Tyrosine Kinase/RTK, Autophagy","VEGFR, c-Kit, PDGFR, Autophagy, FGFR"
"559","idelalisib","PI3K/Akt/mTOR, Autophagy","PI3K, Autophagy"
"560","ver-155008","Cell Cycle/DNA Damage, Metabolic Enzyme/Protease, Autophagy","HSP, Autophagy"
"561","bosutinib","Protein Tyrosine Kinase/RTK, Autophagy","Src, Bcr-Abl, Autophagy"
"562","belinostat","Cell Cycle/DNA Damage, Epigenetics, Autophagy","HDAC, Autophagy"
"563","atorvastatin","Metabolic Enzyme/Protease, Autophagy","HMG-CoA Reductase (HMGCR), Autophagy"
"564","gant-61","Stem Cell/Wnt, Autophagy","Gli, Autophagy"
"565","sitagliptin","Metabolic Enzyme/Protease, Autophagy","Dipeptidyl Peptidase, Autophagy"
"566","ivermectin","Anti-infection, Autophagy","Dengue virus, Flavivirus, Parasite, HIV, Mitophagy, HSV, SARS-CoV, Antibiotic, Autophagy, Bacterial"
"567","nifedipine","Membrane Transporter/Ion Channel, Neuronal Signaling, Autophagy","Calcium Channel, Autophagy"
"568","emodin","Anti-infection, Cell Cycle/DNA Damage, Stem Cell/Wnt, Autophagy, Metabolic Enzyme/Protease","SARS-CoV, Casein Kinase, Autophagy, 11β-HSD"
"569","sb-216763","PI3K/Akt/mTOR, Stem Cell/Wnt, Autophagy","GSK-3, Autophagy"
"570","methylprednisolone","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor, Autophagy, Anti-infection","Glucocorticoid Receptor, Autophagy, SARS-CoV, Bacterial"
"571","purmorphamine","Stem Cell/Wnt, Autophagy","Smo, Autophagy"
"572","letrozole","Metabolic Enzyme/Protease, Autophagy","Cytochrome P450, Autophagy"
"573","sar405","PI3K/Akt/mTOR, Autophagy","PI3K, Autophagy"
"574","lumacaftor","Membrane Transporter/Ion Channel, Autophagy","CFTR, Autophagy"
"575","niacin","Autophagy, Metabolic Enzyme/Protease","Autophagy, Endogenous Metabolite"
"576","ivacaftor","Membrane Transporter/Ion Channel, Autophagy","CFTR, Autophagy"
"577","azithromycin","Anti-infection, Autophagy","Bacterial, Autophagy, Antibiotic, Parasite"
"578","ursolic-acid","Autophagy, Metabolic Enzyme/Protease","Autophagy, Endogenous Metabolite"
"579","bix-01294","Epigenetics, Autophagy","Histone Methyltransferase, Autophagy"
"580","3po","Autophagy","Autophagy"
"581","salvianolic-acid-b","Autophagy","Autophagy"
"582","bexarotene","Metabolic Enzyme/Protease, Vitamin D Related/Nuclear Receptor, Autophagy","RAR/RXR, Autophagy"
"583","bi-d1870","MAPK/ERK Pathway, Autophagy","Ribosomal S6 Kinase (RSK), Autophagy"
"584","crenolanib","Protein Tyrosine Kinase/RTK, Autophagy","FLT3, PDGFR, Autophagy"
"585","unc1999","Epigenetics, Autophagy","Histone Methyltransferase, Autophagy"
"586","gw-501516","Cell Cycle/DNA Damage, Vitamin D Related/Nuclear Receptor, Autophagy","PPAR, Autophagy"
"587","cryptotanshinone","JAK/STAT Signaling, Stem Cell/Wnt, Autophagy","STAT, Autophagy"
"588","oleanolic-acid","Autophagy, Metabolic Enzyme/Protease, Anti-infection","Autophagy, Endogenous Metabolite, HIV"
"589","carbamazepine","Membrane Transporter/Ion Channel, Autophagy, Neuronal Signaling, Cell Cycle/DNA Damage, Epigenetics","Sodium Channel, Autophagy, Mitophagy, Potassium Channel, Calcium Channel, HDAC"
"590","ezetimibe","NF-κB, Autophagy","Keap1-Nrf2, Autophagy"
"591","cabazitaxel","Cell Cycle/DNA Damage, Cytoskeleton, Autophagy","Microtubule/Tubulin, Autophagy"
"592","carvedilol","GPCR/G Protein, Neuronal Signaling, Autophagy, Anti-infection","Adrenergic Receptor, Autophagy, Bacterial"
"593","gsk2126458","PI3K/Akt/mTOR, Autophagy","PI3K, mTOR, Autophagy"
"594","omeprazole","Membrane Transporter/Ion Channel, Autophagy, Anti-infection, Metabolic Enzyme/Protease","Proton Pump, Autophagy, Bacterial, Phospholipase"
"595","bicalutamide","Vitamin D Related/Nuclear Receptor, Autophagy","Androgen Receptor, Autophagy"
"596","ataluren","Membrane Transporter/Ion Channel, Autophagy","CFTR, Autophagy"
"597","tozasertib","Cell Cycle/DNA Damage, Epigenetics, Autophagy","Aurora Kinase, Autophagy"
"598","spironolactone","Metabolic Enzyme/Protease, Vitamin D Related/Nuclear Receptor, Autophagy","Mineralocorticoid Receptor, Androgen Receptor, Autophagy"
"599","telmisartan","GPCR/G Protein, Autophagy","Angiotensin Receptor, Autophagy"
"600","icariin","Metabolic Enzyme/Protease, Vitamin D Related/Nuclear Receptor, Cell Cycle/DNA Damage, Autophagy","Phosphodiesterase (PDE), PPAR, Autophagy"
"601","andrographolide","NF-κB, Anti-infection, Autophagy","NF-κB, SARS-CoV, Influenza Virus, Autophagy, Parasite"
"602","amg-perk-44","Cell Cycle/DNA Damage, Autophagy","PERK, Autophagy"
"603","reversine","Cell Cycle/DNA Damage, Epigenetics, Autophagy","Aurora Kinase, Autophagy"
"604","efavirenz","Anti-infection, Autophagy, Metabolic Enzyme/Protease","Reverse Transcriptase, HIV, Autophagy, Endogenous Metabolite, Parasite"
"605","acetazolamide","Metabolic Enzyme/Protease, Autophagy, Anti-infection","Carbonic Anhydrase, Autophagy, Bacterial"
"606","clarithromycin","Anti-infection, Metabolic Enzyme/Protease, Autophagy","Bacterial, Cytochrome P450, Autophagy, Antibiotic"
"607","isotretinoin","Metabolic Enzyme/Protease, Vitamin D Related/Nuclear Receptor, Autophagy","RAR/RXR, Endogenous Metabolite, Autophagy"
"608","naringin","Metabolic Enzyme/Protease, Autophagy","Cytochrome P450, Autophagy, Mitophagy, Endogenous Metabolite"
"609","lonafarnib","Metabolic Enzyme/Protease, GPCR/G Protein, Autophagy","Farnesyl Transferase, Ras, Autophagy"
"610","trimetazidine","Autophagy","Autophagy"
"611","pterostilbene","Autophagy","Autophagy"
"612","pf-4708671","MAPK/ERK Pathway, Autophagy","Ribosomal S6 Kinase (RSK), Autophagy"
"613","iu1","Cell Cycle/DNA Damage, Autophagy","Deubiquitinase, Autophagy"
"614","ly2603618","Cell Cycle/DNA Damage, Autophagy","Checkpoint Kinase (Chk), Autophagy"
"615","cabergoline","GPCR/G Protein, Neuronal Signaling, Autophagy","Dopamine Receptor, Autophagy"
"616","ly3009120","MAPK/ERK Pathway, Autophagy","Raf, Autophagy"
"617","taxifolin","Autophagy, Metabolic Enzyme/Protease","Autophagy, Tyrosinase"
"618","unc0638","Epigenetics, Autophagy, Anti-infection","VSV, Histone Methyltransferase, Autophagy, Influenza Virus"
"619","carprofen","Immunology/Inflammation, Neuronal Signaling, Metabolic Enzyme/Protease, Autophagy","COX, FAAH, Autophagy, Endogenous Metabolite"
"620","zebularine","Epigenetics, Autophagy","DNA Methyltransferase, Autophagy"
"621","piperine","Membrane Transporter/Ion Channel, Autophagy, Metabolic Enzyme/Protease","P-glycoprotein, Autophagy, Endogenous Metabolite"
"622","pirarubicin","Cell Cycle/DNA Damage, Autophagy, Anti-infection","Topoisomerase, Autophagy, Bacterial, Antibiotic"
"623","hesperadin","Cell Cycle/DNA Damage, Epigenetics, Autophagy, Anti-infection","Aurora Kinase, Autophagy, Influenza Virus, Parasite"
"624","mk-5108","Cell Cycle/DNA Damage, Epigenetics, Autophagy","Aurora Kinase, Autophagy"
"625","clioquinol","Anti-infection, Autophagy","Fungal, Autophagy, Mitophagy, Antibiotic, Parasite"
"626","reserpine","Induced Disease Models Products, Membrane Transporter/Ion Channel, Autophagy","Immunology and Inflammatory Disease Models, Digestive System Disease Models, Monoamine Transporter, Autophagy"
"627","clotrimazole","Anti-infection, Autophagy","Fungal, Bacterial, Autophagy, Antibiotic"
"628","pfk-015","Autophagy","Autophagy"
"629","talarozole","Metabolic Enzyme/Protease, Vitamin D Related/Nuclear Receptor, Autophagy","RAR/RXR, Cytochrome P450, Autophagy"
"630","isoniazid","Anti-infection, Autophagy","Bacterial, Autophagy, Mitophagy, Antibiotic"
"631","licochalcone-a","Autophagy","Autophagy"
"632","cediranib","Protein Tyrosine Kinase/RTK, Autophagy","VEGFR, Autophagy, PDGFR"
"633","vx-745","MAPK/ERK Pathway, Autophagy","p38 MAPK, Autophagy"
"634","naproxen","Immunology/Inflammation, Autophagy","COX, Autophagy"
"635","urmc-099","MAPK/ERK Pathway, Autophagy","Mixed Lineage Kinase, Autophagy"
"636","tolbutamide","Membrane Transporter/Ion Channel","Na+/K+ ATPase"
"637","losmapimod","MAPK/ERK Pathway, Autophagy","p38 MAPK, Autophagy"
"638","danusertib","Cell Cycle/DNA Damage, Epigenetics, Autophagy","Aurora Kinase, Autophagy"
"639","silibinin","Autophagy, NF-κB, Metabolic Enzyme/Protease, Immunology/Inflammation","Autophagy, Reactive Oxygen Species"
"640","magnolol","Metabolic Enzyme/Protease, Vitamin D Related/Nuclear Receptor, Cell Cycle/DNA Damage, Autophagy, Anti-infection","RAR/RXR, PPAR, Autophagy, Bacterial"
"641","fenretinide","Metabolic Enzyme/Protease, Vitamin D Related/Nuclear Receptor, Autophagy","RAR/RXR, Autophagy"
"642","stf-31","Membrane Transporter/Ion Channel, Autophagy","GLUT, Autophagy"
"643","cilostazol","Metabolic Enzyme/Protease, Autophagy","Phosphodiesterase (PDE), Autophagy"
"644","pregnenolone","GPCR/G Protein, Neuronal Signaling, Membrane Transporter/Ion Channel, Metabolic Enzyme/Protease, Autophagy","Cannabinoid Receptor, TRP Channel, Endogenous Metabolite, Autophagy"
"645","h-89","Stem Cell/Wnt, TGF-beta/Smad, Autophagy","PKA, Autophagy"
"646","pf-04691502","PI3K/Akt/mTOR, Autophagy","PI3K, mTOR, Autophagy"
"647","tolvaptan","GPCR/G Protein, Autophagy","Vasopressin Receptor, Autophagy"
"648","pha-848125","Cell Cycle/DNA Damage, Autophagy","CDK, Autophagy"
"649","lamotrigine","Membrane Transporter/Ion Channel, Autophagy","Sodium Channel, Autophagy"
"650","nvp-aew541","Protein Tyrosine Kinase/RTK, Autophagy","IGF-1R, Insulin Receptor, Autophagy"
"651","pentoxifylline","Metabolic Enzyme/Protease, Autophagy, Anti-infection","Phosphodiesterase (PDE), Autophagy, HIV"
"652","nimodipine","Autophagy, Neuronal Signaling, Membrane Transporter/Ion Channel","Autophagy, Calcium Channel"
"653","biib021","Cell Cycle/DNA Damage, Metabolic Enzyme/Protease, Autophagy","HSP, Autophagy"
"654","salirasib","GPCR/G Protein, Autophagy","Ras, Autophagy"
"655","glucosamine","Metabolic Enzyme/Protease, NF-κB, Immunology/Inflammation, Autophagy","Endogenous Metabolite, Reactive Oxygen Species, HIF/HIF Prolyl-Hydroxylase, Autophagy"
"656","dacinostat","Cell Cycle/DNA Damage, Epigenetics, Autophagy","HDAC, Autophagy"
"657","agn-194310","Metabolic Enzyme/Protease, Vitamin D Related/Nuclear Receptor, Autophagy","RAR/RXR, Autophagy"
"658","pinocembrin","Anti-infection, NF-κB, Metabolic Enzyme/Protease, Immunology/Inflammation, Autophagy","Bacterial, Reactive Oxygen Species, Autophagy"
"659","ketanserin","GPCR/G Protein, Neuronal Signaling, Membrane Transporter/Ion Channel, Autophagy","5-HT Receptor, Potassium Channel, Autophagy"
"660","felodipine","Membrane Transporter/Ion Channel, Neuronal Signaling, Autophagy","Calcium Channel, Autophagy"
"661","pyrazinamide","Anti-infection, Autophagy","Bacterial, Autophagy, Antibiotic"
"662","schisandrin-b","Autophagy, NF-κB, Metabolic Enzyme/Protease, Immunology/Inflammation","Autophagy, Reactive Oxygen Species"
"663","triclosan","Anti-infection, Apoptosis","Bacterial, Fungal, Antibiotic, Apoptosis"
"664","ph-797804","MAPK/ERK Pathway, Autophagy","p38 MAPK, Autophagy"
"665","diazoxide","Membrane Transporter/Ion Channel, Autophagy","Potassium Channel, Autophagy"
"666","metyrapone","Metabolic Enzyme/Protease, Autophagy","Endogenous Metabolite, Cytochrome P450, Autophagy"
